passengerCount,WIFIAPTag,slice10min
20.5,EC-2C-12<EC-1-22>,2016-09-25-16-1
21.1,EC-2C-12<EC-1-22>,2016-09-25-16-2
20.7,EC-2C-12<EC-1-22>,2016-09-25-16-3
22.6,EC-2C-12<EC-1-22>,2016-09-25-16-4
24.1,EC-2C-12<EC-1-22>,2016-09-25-16-5
25.1,EC-2C-12<EC-1-22>,2016-09-25-17-0
24.1,EC-2C-12<EC-1-22>,2016-09-25-17-1
25.7,EC-2C-12<EC-1-22>,2016-09-25-17-2
23.7,EC-2C-12<EC-1-22>,2016-09-25-17-3
24.1,EC-2C-12<EC-1-22>,2016-09-25-17-4
25.1,EC-2C-12<EC-1-22>,2016-09-25-17-5
24.1,EC-2C-12<EC-1-22>,2016-09-25-18-0
24.5,EC-2C-12<EC-1-22>,2016-09-25-18-1
22.4,EC-2C-12<EC-1-22>,2016-09-25-18-2
21.2,EC-2C-12<EC-1-22>,2016-09-25-18-3
22.6,EC-2C-12<EC-1-22>,2016-09-25-18-4
20.2,EC-2C-12<EC-1-22>,2016-09-25-18-5
3.4,EC-2C-1<EC-2-17>,2016-09-25-15-0
3.9,EC-2C-1<EC-2-17>,2016-09-25-15-1
3.2,EC-2C-1<EC-2-17>,2016-09-25-15-2
3.2,EC-2C-1<EC-2-17>,2016-09-25-15-3
3.5,EC-2C-1<EC-2-17>,2016-09-25-15-4
3.4,EC-2C-1<EC-2-17>,2016-09-25-15-5
3.2,EC-2C-1<EC-2-17>,2016-09-25-16-0
3.2,EC-2C-1<EC-2-17>,2016-09-25-16-1
3.1,EC-2C-1<EC-2-17>,2016-09-25-16-2
3.2,EC-2C-1<EC-2-17>,2016-09-25-16-3
3.0,EC-2C-1<EC-2-17>,2016-09-25-16-4
2.5,EC-2C-1<EC-2-17>,2016-09-25-16-5
2.5,EC-2C-1<EC-2-17>,2016-09-25-17-0
2.7,EC-2C-1<EC-2-17>,2016-09-25-17-1
2.3,EC-2C-1<EC-2-17>,2016-09-25-17-2
2.5,EC-2C-1<EC-2-17>,2016-09-25-17-3
2.4,EC-2C-1<EC-2-17>,2016-09-25-17-4
2.5,EC-2C-1<EC-2-17>,2016-09-25-17-5
2.4,EC-2C-1<EC-2-17>,2016-09-25-18-0
2.8,EC-2C-1<EC-2-17>,2016-09-25-18-1
3.2,EC-2C-1<EC-2-17>,2016-09-25-18-2
3.4,EC-2C-1<EC-2-17>,2016-09-25-18-3
4.1,EC-2C-1<EC-2-17>,2016-09-25-18-4
3.8,EC-2C-1<EC-2-17>,2016-09-25-18-5
4.4,EC-2C-2<EC-2-16>,2016-09-25-15-0
4.7,EC-2C-2<EC-2-16>,2016-09-25-15-1
5.2,EC-2C-2<EC-2-16>,2016-09-25-15-2
5.6,EC-2C-2<EC-2-16>,2016-09-25-15-3
6.0,EC-2C-2<EC-2-16>,2016-09-25-15-4
5.6,EC-2C-2<EC-2-16>,2016-09-25-15-5
4.7,EC-2C-2<EC-2-16>,2016-09-25-16-0
2.5,EC-2C-2<EC-2-16>,2016-09-25-16-1
3.0,EC-2C-2<EC-2-16>,2016-09-25-16-2
2.3,EC-2C-2<EC-2-16>,2016-09-25-16-3
3.0,EC-2C-2<EC-2-16>,2016-09-25-16-4
2.8,EC-2C-2<EC-2-16>,2016-09-25-16-5
2.4,EC-2C-2<EC-2-16>,2016-09-25-17-0
3.3,EC-2C-2<EC-2-16>,2016-09-25-17-1
4.9,EC-2C-2<EC-2-16>,2016-09-25-17-2
6.5,EC-2C-2<EC-2-16>,2016-09-25-17-3
7.1,EC-2C-2<EC-2-16>,2016-09-25-17-4
7.8,EC-2C-2<EC-2-16>,2016-09-25-17-5
10.6,EC-2C-2<EC-2-16>,2016-09-25-18-0
10.6,EC-2C-2<EC-2-16>,2016-09-25-18-1
7.7,EC-2C-2<EC-2-16>,2016-09-25-18-2
5.4,EC-2C-2<EC-2-16>,2016-09-25-18-3
3.3,EC-2C-2<EC-2-16>,2016-09-25-18-4
3.9,EC-2C-2<EC-2-16>,2016-09-25-18-5
0.7,EC-2C-3<EC-2-15>,2016-09-25-15-0
0.4,EC-2C-3<EC-2-15>,2016-09-25-15-1
0.6,EC-2C-3<EC-2-15>,2016-09-25-15-2
0.6,EC-2C-3<EC-2-15>,2016-09-25-15-3
0.7,EC-2C-3<EC-2-15>,2016-09-25-15-4
0.8,EC-2C-3<EC-2-15>,2016-09-25-15-5
0.6,EC-2C-3<EC-2-15>,2016-09-25-16-0
0.5,EC-2C-3<EC-2-15>,2016-09-25-16-1
0.5,EC-2C-3<EC-2-15>,2016-09-25-16-2
0.6,EC-2C-3<EC-2-15>,2016-09-25-16-3
0.6,EC-2C-3<EC-2-15>,2016-09-25-16-4
0.7,EC-2C-3<EC-2-15>,2016-09-25-16-5
0.8,EC-2C-3<EC-2-15>,2016-09-25-17-0
1.0,EC-2C-3<EC-2-15>,2016-09-25-17-1
0.9,EC-2C-3<EC-2-15>,2016-09-25-17-2
0.9,EC-2C-3<EC-2-15>,2016-09-25-17-3
1.1,EC-2C-3<EC-2-15>,2016-09-25-17-4
0.9,EC-2C-3<EC-2-15>,2016-09-25-17-5
0.7,EC-2C-3<EC-2-15>,2016-09-25-18-0
0.4,EC-2C-3<EC-2-15>,2016-09-25-18-1
0.3,EC-2C-3<EC-2-15>,2016-09-25-18-2
0.6,EC-2C-3<EC-2-15>,2016-09-25-18-3
0.4,EC-2C-3<EC-2-15>,2016-09-25-18-4
0.4,EC-2C-3<EC-2-15>,2016-09-25-18-5
0.4,EC-2C-4<EC-2-14>,2016-09-25-15-0
0.4,EC-2C-4<EC-2-14>,2016-09-25-15-1
0.5,EC-2C-4<EC-2-14>,2016-09-25-15-2
0.5,EC-2C-4<EC-2-14>,2016-09-25-15-3
0.9,EC-2C-4<EC-2-14>,2016-09-25-15-4
1.6,EC-2C-4<EC-2-14>,2016-09-25-15-5
1.0,EC-2C-4<EC-2-14>,2016-09-25-16-0
0.6,EC-2C-4<EC-2-14>,2016-09-25-16-1
0.7,EC-2C-4<EC-2-14>,2016-09-25-16-2
0.6,EC-2C-4<EC-2-14>,2016-09-25-16-3
0.6,EC-2C-4<EC-2-14>,2016-09-25-16-4
0.4,EC-2C-4<EC-2-14>,2016-09-25-16-5
0.8,EC-2C-4<EC-2-14>,2016-09-25-17-0
0.7,EC-2C-4<EC-2-14>,2016-09-25-17-1
0.4,EC-2C-4<EC-2-14>,2016-09-25-17-2
0.8,EC-2C-4<EC-2-14>,2016-09-25-17-3
0.9,EC-2C-4<EC-2-14>,2016-09-25-17-4
0.6,EC-2C-4<EC-2-14>,2016-09-25-17-5
0.5,EC-2C-4<EC-2-14>,2016-09-25-18-0
0.8,EC-2C-4<EC-2-14>,2016-09-25-18-1
0.7,EC-2C-4<EC-2-14>,2016-09-25-18-2
0.6,EC-2C-4<EC-2-14>,2016-09-25-18-3
0.3,EC-2C-4<EC-2-14>,2016-09-25-18-4
0.1,EC-2C-4<EC-2-14>,2016-09-25-18-5
5.2,EC-2C-5<EC-2-18>,2016-09-25-15-0
5.3,EC-2C-5<EC-2-18>,2016-09-25-15-1
5.1,EC-2C-5<EC-2-18>,2016-09-25-15-2
5.4,EC-2C-5<EC-2-18>,2016-09-25-15-3
5.5,EC-2C-5<EC-2-18>,2016-09-25-15-4
5.3,EC-2C-5<EC-2-18>,2016-09-25-15-5
5.8,EC-2C-5<EC-2-18>,2016-09-25-16-0
5.3,EC-2C-5<EC-2-18>,2016-09-25-16-1
4.9,EC-2C-5<EC-2-18>,2016-09-25-16-2
4.7,EC-2C-5<EC-2-18>,2016-09-25-16-3
4.2,EC-2C-5<EC-2-18>,2016-09-25-16-4
4.6,EC-2C-5<EC-2-18>,2016-09-25-16-5
4.7,EC-2C-5<EC-2-18>,2016-09-25-17-0
4.8,EC-2C-5<EC-2-18>,2016-09-25-17-1
5.3,EC-2C-5<EC-2-18>,2016-09-25-17-2
6.5,EC-2C-5<EC-2-18>,2016-09-25-17-3
6.9,EC-2C-5<EC-2-18>,2016-09-25-17-4
7.6,EC-2C-5<EC-2-18>,2016-09-25-17-5
7.8,EC-2C-5<EC-2-18>,2016-09-25-18-0
8.5,EC-2C-5<EC-2-18>,2016-09-25-18-1
8.4,EC-2C-5<EC-2-18>,2016-09-25-18-2
7.7,EC-2C-5<EC-2-18>,2016-09-25-18-3
7.1,EC-2C-5<EC-2-18>,2016-09-25-18-4
7.1,EC-2C-5<EC-2-18>,2016-09-25-18-5
2.5,EC-2C-7<EC-2-20>,2016-09-25-15-0
2.7,EC-2C-7<EC-2-20>,2016-09-25-15-1
2.6,EC-2C-7<EC-2-20>,2016-09-25-15-2
2.7,EC-2C-7<EC-2-20>,2016-09-25-15-3
2.9,EC-2C-7<EC-2-20>,2016-09-25-15-4
2.5,EC-2C-7<EC-2-20>,2016-09-25-15-5
2.6,EC-2C-7<EC-2-20>,2016-09-25-16-0
2.2,EC-2C-7<EC-2-20>,2016-09-25-16-1
1.8,EC-2C-7<EC-2-20>,2016-09-25-16-2
1.9,EC-2C-7<EC-2-20>,2016-09-25-16-3
2.5,EC-2C-7<EC-2-20>,2016-09-25-16-4
2.5,EC-2C-7<EC-2-20>,2016-09-25-16-5
2.5,EC-2C-7<EC-2-20>,2016-09-25-17-0
2.6,EC-2C-7<EC-2-20>,2016-09-25-17-1
2.7,EC-2C-7<EC-2-20>,2016-09-25-17-2
2.4,EC-2C-7<EC-2-20>,2016-09-25-17-3
2.6,EC-2C-7<EC-2-20>,2016-09-25-17-4
2.5,EC-2C-7<EC-2-20>,2016-09-25-17-5
2.5,EC-2C-7<EC-2-20>,2016-09-25-18-0
2.8,EC-2C-7<EC-2-20>,2016-09-25-18-1
2.8,EC-2C-7<EC-2-20>,2016-09-25-18-2
2.5,EC-2C-7<EC-2-20>,2016-09-25-18-3
2.0,EC-2C-7<EC-2-20>,2016-09-25-18-4
2.2,EC-2C-7<EC-2-20>,2016-09-25-18-5
2.8,EC-2C-8<EC-1-21>,2016-09-25-15-0
2.8,EC-2C-8<EC-1-21>,2016-09-25-15-1
2.6,EC-2C-8<EC-1-21>,2016-09-25-15-2
3.0,EC-2C-8<EC-1-21>,2016-09-25-15-3
3.0,EC-2C-8<EC-1-21>,2016-09-25-15-4
2.0,EC-2C-8<EC-1-21>,2016-09-25-15-5
1.9,EC-2C-8<EC-1-21>,2016-09-25-16-0
2.1,EC-2C-8<EC-1-21>,2016-09-25-16-1
2.4,EC-2C-8<EC-1-21>,2016-09-25-16-2
2.6,EC-2C-8<EC-1-21>,2016-09-25-16-3
2.4,EC-2C-8<EC-1-21>,2016-09-25-16-4
2.6,EC-2C-8<EC-1-21>,2016-09-25-16-5
2.4,EC-2C-8<EC-1-21>,2016-09-25-17-0
2.6,EC-2C-8<EC-1-21>,2016-09-25-17-1
3.1,EC-2C-8<EC-1-21>,2016-09-25-17-2
3.6,EC-2C-8<EC-1-21>,2016-09-25-17-3
2.9,EC-2C-8<EC-1-21>,2016-09-25-17-4
3.0,EC-2C-8<EC-1-21>,2016-09-25-17-5
2.9,EC-2C-8<EC-1-21>,2016-09-25-18-0
3.1,EC-2C-8<EC-1-21>,2016-09-25-18-1
2.8,EC-2C-8<EC-1-21>,2016-09-25-18-2
2.5,EC-2C-8<EC-1-21>,2016-09-25-18-3
2.6,EC-2C-8<EC-1-21>,2016-09-25-18-4
2.3,EC-2C-8<EC-1-21>,2016-09-25-18-5
16.4,EC-2C-9<EC-1-19>,2016-09-25-15-0
16.7,EC-2C-9<EC-1-19>,2016-09-25-15-1
18.9,EC-2C-9<EC-1-19>,2016-09-25-15-2
20.6,EC-2C-9<EC-1-19>,2016-09-25-15-3
19.7,EC-2C-9<EC-1-19>,2016-09-25-15-4
18.0,EC-2C-9<EC-1-19>,2016-09-25-15-5
18.6,EC-2C-9<EC-1-19>,2016-09-25-16-0
18.8,EC-2C-9<EC-1-19>,2016-09-25-16-1
18.1,EC-2C-9<EC-1-19>,2016-09-25-16-2
17.9,EC-2C-9<EC-1-19>,2016-09-25-16-3
18.4,EC-2C-9<EC-1-19>,2016-09-25-16-4
18.2,EC-2C-9<EC-1-19>,2016-09-25-16-5
18.5,EC-2C-9<EC-1-19>,2016-09-25-17-0
19.4,EC-2C-9<EC-1-19>,2016-09-25-17-1
18.6,EC-2C-9<EC-1-19>,2016-09-25-17-2
17.8,EC-2C-9<EC-1-19>,2016-09-25-17-3
17.4,EC-2C-9<EC-1-19>,2016-09-25-17-4
15.2,EC-2C-9<EC-1-19>,2016-09-25-17-5
16.2,EC-2C-9<EC-1-19>,2016-09-25-18-0
16.7,EC-2C-9<EC-1-19>,2016-09-25-18-1
16.3,EC-2C-9<EC-1-19>,2016-09-25-18-2
15.8,EC-2C-9<EC-1-19>,2016-09-25-18-3
15.2,EC-2C-9<EC-1-19>,2016-09-25-18-4
14.4,EC-2C-9<EC-1-19>,2016-09-25-18-5
1.5,EC-2D-1<EC-2-21>,2016-09-25-15-0
2.0,EC-2D-1<EC-2-21>,2016-09-25-15-1
1.7,EC-2D-1<EC-2-21>,2016-09-25-15-2
1.9,EC-2D-1<EC-2-21>,2016-09-25-15-3
2.8,EC-2D-1<EC-2-21>,2016-09-25-15-4
2.5,EC-2D-1<EC-2-21>,2016-09-25-15-5
1.4,EC-2D-1<EC-2-21>,2016-09-25-16-0
1.1,EC-2D-1<EC-2-21>,2016-09-25-16-1
1.5,EC-2D-1<EC-2-21>,2016-09-25-16-2
1.8,EC-2D-1<EC-2-21>,2016-09-25-16-3
1.7,EC-2D-1<EC-2-21>,2016-09-25-16-4
1.8,EC-2D-1<EC-2-21>,2016-09-25-16-5
1.5,EC-2D-1<EC-2-21>,2016-09-25-17-0
1.4,EC-2D-1<EC-2-21>,2016-09-25-17-1
1.2,EC-2D-1<EC-2-21>,2016-09-25-17-2
0.9,EC-2D-1<EC-2-21>,2016-09-25-17-3
1.6,EC-2D-1<EC-2-21>,2016-09-25-17-4
2.0,EC-2D-1<EC-2-21>,2016-09-25-17-5
1.5,EC-2D-1<EC-2-21>,2016-09-25-18-0
1.6,EC-2D-1<EC-2-21>,2016-09-25-18-1
1.7,EC-2D-1<EC-2-21>,2016-09-25-18-2
1.5,EC-2D-1<EC-2-21>,2016-09-25-18-3
1.8,EC-2D-1<EC-2-21>,2016-09-25-18-4
1.4,EC-2D-1<EC-2-21>,2016-09-25-18-5
0.2,EC-2D-2<EC-2-22>,2016-09-25-15-0
0.3,EC-2D-2<EC-2-22>,2016-09-25-15-1
0.3,EC-2D-2<EC-2-22>,2016-09-25-15-2
0.5,EC-2D-2<EC-2-22>,2016-09-25-15-3
0.9,EC-2D-2<EC-2-22>,2016-09-25-15-4
1.0,EC-2D-2<EC-2-22>,2016-09-25-15-5
0.8,EC-2D-2<EC-2-22>,2016-09-25-16-0
0.8,EC-2D-2<EC-2-22>,2016-09-25-16-1
0.8,EC-2D-2<EC-2-22>,2016-09-25-16-2
0.7,EC-2D-2<EC-2-22>,2016-09-25-16-3
0.6,EC-2D-2<EC-2-22>,2016-09-25-16-4
0.5,EC-2D-2<EC-2-22>,2016-09-25-16-5
0.5,EC-2D-2<EC-2-22>,2016-09-25-17-0
0.1,EC-2D-2<EC-2-22>,2016-09-25-17-1
0.2,EC-2D-2<EC-2-22>,2016-09-25-17-2
0.3,EC-2D-2<EC-2-22>,2016-09-25-17-3
0.5,EC-2D-2<EC-2-22>,2016-09-25-17-4
0.5,EC-2D-2<EC-2-22>,2016-09-25-17-5
0.2,EC-2D-2<EC-2-22>,2016-09-25-18-0
0.2,EC-2D-2<EC-2-22>,2016-09-25-18-1
0.2,EC-2D-2<EC-2-22>,2016-09-25-18-2
0.4,EC-2D-2<EC-2-22>,2016-09-25-18-3
0.2,EC-2D-2<EC-2-22>,2016-09-25-18-4
0.2,EC-2D-2<EC-2-22>,2016-09-25-18-5
0.7,EC-2D-3<EC-2-23>,2016-09-25-15-0
0.6,EC-2D-3<EC-2-23>,2016-09-25-15-1
0.6,EC-2D-3<EC-2-23>,2016-09-25-15-2
1.4,EC-2D-3<EC-2-23>,2016-09-25-15-3
2.7,EC-2D-3<EC-2-23>,2016-09-25-15-4
2.6,EC-2D-3<EC-2-23>,2016-09-25-15-5
2.6,EC-2D-3<EC-2-23>,2016-09-25-16-0
2.6,EC-2D-3<EC-2-23>,2016-09-25-16-1
2.1,EC-2D-3<EC-2-23>,2016-09-25-16-2
1.8,EC-2D-3<EC-2-23>,2016-09-25-16-3
1.7,EC-2D-3<EC-2-23>,2016-09-25-16-4
1.5,EC-2D-3<EC-2-23>,2016-09-25-16-5
1.7,EC-2D-3<EC-2-23>,2016-09-25-17-0
2.0,EC-2D-3<EC-2-23>,2016-09-25-17-1
1.9,EC-2D-3<EC-2-23>,2016-09-25-17-2
1.5,EC-2D-3<EC-2-23>,2016-09-25-17-3
2.0,EC-2D-3<EC-2-23>,2016-09-25-17-4
2.2,EC-2D-3<EC-2-23>,2016-09-25-17-5
1.2,EC-2D-3<EC-2-23>,2016-09-25-18-0
0.7,EC-2D-3<EC-2-23>,2016-09-25-18-1
0.5,EC-2D-3<EC-2-23>,2016-09-25-18-2
0.8,EC-2D-3<EC-2-23>,2016-09-25-18-3
0.5,EC-2D-3<EC-2-23>,2016-09-25-18-4
0.2,EC-2D-3<EC-2-23>,2016-09-25-18-5
1.2,EC-2D-4<EC-2-24>,2016-09-25-15-0
1.4,EC-2D-4<EC-2-24>,2016-09-25-15-1
1.3,EC-2D-4<EC-2-24>,2016-09-25-15-2
1.0,EC-2D-4<EC-2-24>,2016-09-25-15-3
1.2,EC-2D-4<EC-2-24>,2016-09-25-15-4
1.6,EC-2D-4<EC-2-24>,2016-09-25-15-5
1.6,EC-2D-4<EC-2-24>,2016-09-25-16-0
1.4,EC-2D-4<EC-2-24>,2016-09-25-16-1
1.6,EC-2D-4<EC-2-24>,2016-09-25-16-2
1.3,EC-2D-4<EC-2-24>,2016-09-25-16-3
1.0,EC-2D-4<EC-2-24>,2016-09-25-16-4
1.1,EC-2D-4<EC-2-24>,2016-09-25-16-5
1.3,EC-2D-4<EC-2-24>,2016-09-25-17-0
1.4,EC-2D-4<EC-2-24>,2016-09-25-17-1
1.1,EC-2D-4<EC-2-24>,2016-09-25-17-2
1.1,EC-2D-4<EC-2-24>,2016-09-25-17-3
1.1,EC-2D-4<EC-2-24>,2016-09-25-17-4
1.0,EC-2D-4<EC-2-24>,2016-09-25-17-5
0.9,EC-2D-4<EC-2-24>,2016-09-25-18-0
0.9,EC-2D-4<EC-2-24>,2016-09-25-18-1
1.3,EC-2D-4<EC-2-24>,2016-09-25-18-2
1.1,EC-2D-4<EC-2-24>,2016-09-25-18-3
0.9,EC-2D-4<EC-2-24>,2016-09-25-18-4
1.0,EC-2D-4<EC-2-24>,2016-09-25-18-5
4.9,EC-2E-1<EC-2-32>,2016-09-25-15-0
4.7,EC-2E-1<EC-2-32>,2016-09-25-15-1
4.8,EC-2E-1<EC-2-32>,2016-09-25-15-2
5.0,EC-2E-1<EC-2-32>,2016-09-25-15-3
4.9,EC-2E-1<EC-2-32>,2016-09-25-15-4
4.8,EC-2E-1<EC-2-32>,2016-09-25-15-5
4.7,EC-2E-1<EC-2-32>,2016-09-25-16-0
5.0,EC-2E-1<EC-2-32>,2016-09-25-16-1
4.8,EC-2E-1<EC-2-32>,2016-09-25-16-2
4.9,EC-2E-1<EC-2-32>,2016-09-25-16-3
4.3,EC-2E-1<EC-2-32>,2016-09-25-16-4
4.1,EC-2E-1<EC-2-32>,2016-09-25-16-5
2.6,EC-2E-1<EC-2-32>,2016-09-25-17-0
1.6,EC-2E-1<EC-2-32>,2016-09-25-17-1
1.6,EC-2E-1<EC-2-32>,2016-09-25-17-2
1.5,EC-2E-1<EC-2-32>,2016-09-25-17-3
0.9,EC-2E-1<EC-2-32>,2016-09-25-17-4
0.8,EC-2E-1<EC-2-32>,2016-09-25-17-5
0.8,EC-2E-1<EC-2-32>,2016-09-25-18-0
0.6,EC-2E-1<EC-2-32>,2016-09-25-18-1
0.5,EC-2E-1<EC-2-32>,2016-09-25-18-2
0.5,EC-2E-1<EC-2-32>,2016-09-25-18-3
0.6,EC-2E-1<EC-2-32>,2016-09-25-18-4
0.7,EC-2E-1<EC-2-32>,2016-09-25-18-5
0.5,EC-2E-2<EC-2-31>,2016-09-25-15-0
0.5,EC-2E-2<EC-2-31>,2016-09-25-15-1
0.5,EC-2E-2<EC-2-31>,2016-09-25-15-2
0.8,EC-2E-2<EC-2-31>,2016-09-25-15-3
0.8,EC-2E-2<EC-2-31>,2016-09-25-15-4
0.7,EC-2E-2<EC-2-31>,2016-09-25-15-5
0.8,EC-2E-2<EC-2-31>,2016-09-25-16-0
0.8,EC-2E-2<EC-2-31>,2016-09-25-16-1
0.8,EC-2E-2<EC-2-31>,2016-09-25-16-2
0.8,EC-2E-2<EC-2-31>,2016-09-25-16-3
0.4,EC-2E-2<EC-2-31>,2016-09-25-16-4
0.5,EC-2E-2<EC-2-31>,2016-09-25-16-5
0.6,EC-2E-2<EC-2-31>,2016-09-25-17-0
0.5,EC-2E-2<EC-2-31>,2016-09-25-17-1
0.7,EC-2E-2<EC-2-31>,2016-09-25-17-2
0.7,EC-2E-2<EC-2-31>,2016-09-25-17-3
0.6,EC-2E-2<EC-2-31>,2016-09-25-17-4
0.7,EC-2E-2<EC-2-31>,2016-09-25-17-5
0.6,EC-2E-2<EC-2-31>,2016-09-25-18-0
0.7,EC-2E-2<EC-2-31>,2016-09-25-18-1
0.8,EC-2E-2<EC-2-31>,2016-09-25-18-2
1.0,EC-2E-2<EC-2-31>,2016-09-25-18-3
0.8,EC-2E-2<EC-2-31>,2016-09-25-18-4
0.9,EC-2E-2<EC-2-31>,2016-09-25-18-5
0.7,EC-2E-3<EC-2-28>,2016-09-25-15-0
0.7,EC-2E-3<EC-2-28>,2016-09-25-15-1
0.8,EC-2E-3<EC-2-28>,2016-09-25-15-2
0.9,EC-2E-3<EC-2-28>,2016-09-25-15-3
0.5,EC-2E-3<EC-2-28>,2016-09-25-15-4
0.4,EC-2E-3<EC-2-28>,2016-09-25-15-5
0.4,EC-2E-3<EC-2-28>,2016-09-25-16-0
0.5,EC-2E-3<EC-2-28>,2016-09-25-16-1
0.6,EC-2E-3<EC-2-28>,2016-09-25-16-2
0.5,EC-2E-3<EC-2-28>,2016-09-25-16-3
0.7,EC-2E-3<EC-2-28>,2016-09-25-16-4
0.5,EC-2E-3<EC-2-28>,2016-09-25-16-5
0.4,EC-2E-3<EC-2-28>,2016-09-25-17-0
0.4,EC-2E-3<EC-2-28>,2016-09-25-17-1
0.5,EC-2E-3<EC-2-28>,2016-09-25-17-2
0.4,EC-2E-3<EC-2-28>,2016-09-25-17-3
0.3,EC-2E-3<EC-2-28>,2016-09-25-17-4
0.4,EC-2E-3<EC-2-28>,2016-09-25-17-5
0.5,EC-2E-3<EC-2-28>,2016-09-25-18-0
0.4,EC-2E-3<EC-2-28>,2016-09-25-18-1
0.4,EC-2E-3<EC-2-28>,2016-09-25-18-2
0.5,EC-2E-3<EC-2-28>,2016-09-25-18-3
0.5,EC-2E-3<EC-2-28>,2016-09-25-18-4
0.4,EC-2E-3<EC-2-28>,2016-09-25-18-5
1.0,EC-2E-4<EC-2-30>,2016-09-25-15-0
1.4,EC-2E-4<EC-2-30>,2016-09-25-15-1
2.0,EC-2E-4<EC-2-30>,2016-09-25-15-2
2.0,EC-2E-4<EC-2-30>,2016-09-25-15-3
1.3,EC-2E-4<EC-2-30>,2016-09-25-15-4
0.9,EC-2E-4<EC-2-30>,2016-09-25-15-5
1.1,EC-2E-4<EC-2-30>,2016-09-25-16-0
1.4,EC-2E-4<EC-2-30>,2016-09-25-16-1
1.8,EC-2E-4<EC-2-30>,2016-09-25-16-2
1.4,EC-2E-4<EC-2-30>,2016-09-25-16-3
1.0,EC-2E-4<EC-2-30>,2016-09-25-16-4
0.9,EC-2E-4<EC-2-30>,2016-09-25-16-5
0.9,EC-2E-4<EC-2-30>,2016-09-25-17-0
0.7,EC-2E-4<EC-2-30>,2016-09-25-17-1
0.7,EC-2E-4<EC-2-30>,2016-09-25-17-2
0.8,EC-2E-4<EC-2-30>,2016-09-25-17-3
0.9,EC-2E-4<EC-2-30>,2016-09-25-17-4
0.8,EC-2E-4<EC-2-30>,2016-09-25-17-5
0.6,EC-2E-4<EC-2-30>,2016-09-25-18-0
0.8,EC-2E-4<EC-2-30>,2016-09-25-18-1
1.1,EC-2E-4<EC-2-30>,2016-09-25-18-2
1.2,EC-2E-4<EC-2-30>,2016-09-25-18-3
1.0,EC-2E-4<EC-2-30>,2016-09-25-18-4
1.2,EC-2E-4<EC-2-30>,2016-09-25-18-5
0.9,EC-2E-5<EC-2-29>,2016-09-25-15-0
1.0,EC-2E-5<EC-2-29>,2016-09-25-15-1
0.9,EC-2E-5<EC-2-29>,2016-09-25-15-2
1.1,EC-2E-5<EC-2-29>,2016-09-25-15-3
1.2,EC-2E-5<EC-2-29>,2016-09-25-15-4
1.2,EC-2E-5<EC-2-29>,2016-09-25-15-5
1.3,EC-2E-5<EC-2-29>,2016-09-25-16-0
1.4,EC-2E-5<EC-2-29>,2016-09-25-16-1
1.4,EC-2E-5<EC-2-29>,2016-09-25-16-2
1.3,EC-2E-5<EC-2-29>,2016-09-25-16-3
1.1,EC-2E-5<EC-2-29>,2016-09-25-16-4
0.9,EC-2E-5<EC-2-29>,2016-09-25-16-5
0.9,EC-2E-5<EC-2-29>,2016-09-25-17-0
0.8,EC-2E-5<EC-2-29>,2016-09-25-17-1
0.8,EC-2E-5<EC-2-29>,2016-09-25-17-2
0.7,EC-2E-5<EC-2-29>,2016-09-25-17-3
1.0,EC-2E-5<EC-2-29>,2016-09-25-17-4
1.1,EC-2E-5<EC-2-29>,2016-09-25-17-5
0.8,EC-2E-5<EC-2-29>,2016-09-25-18-0
0.7,EC-2E-5<EC-2-29>,2016-09-25-18-1
0.7,EC-2E-5<EC-2-29>,2016-09-25-18-2
0.8,EC-2E-5<EC-2-29>,2016-09-25-18-3
0.9,EC-2E-5<EC-2-29>,2016-09-25-18-4
0.9,EC-2E-5<EC-2-29>,2016-09-25-18-5
1.7,EC-2E-6<EC-2-33>,2016-09-25-15-0
1.7,EC-2E-6<EC-2-33>,2016-09-25-15-1
1.6,EC-2E-6<EC-2-33>,2016-09-25-15-2
1.6,EC-2E-6<EC-2-33>,2016-09-25-15-3
1.5,EC-2E-6<EC-2-33>,2016-09-25-15-4
1.3,EC-2E-6<EC-2-33>,2016-09-25-15-5
1.4,EC-2E-6<EC-2-33>,2016-09-25-16-0
1.5,EC-2E-6<EC-2-33>,2016-09-25-16-1
2.0,EC-2E-6<EC-2-33>,2016-09-25-16-2
1.8,EC-2E-6<EC-2-33>,2016-09-25-16-3
1.6,EC-2E-6<EC-2-33>,2016-09-25-16-4
1.1,EC-2E-6<EC-2-33>,2016-09-25-16-5
1.3,EC-2E-6<EC-2-33>,2016-09-25-17-0
1.0,EC-2E-6<EC-2-33>,2016-09-25-17-1
1.0,EC-2E-6<EC-2-33>,2016-09-25-17-2
1.1,EC-2E-6<EC-2-33>,2016-09-25-17-3
1.1,EC-2E-6<EC-2-33>,2016-09-25-17-4
1.2,EC-2E-6<EC-2-33>,2016-09-25-17-5
1.5,EC-2E-6<EC-2-33>,2016-09-25-18-0
1.1,EC-2E-6<EC-2-33>,2016-09-25-18-1
1.3,EC-2E-6<EC-2-33>,2016-09-25-18-2
1.8,EC-2E-6<EC-2-33>,2016-09-25-18-3
1.3,EC-2E-6<EC-2-33>,2016-09-25-18-4
1.3,EC-2E-6<EC-2-33>,2016-09-25-18-5
2.1,EC-2E<EC-2E-10>,2016-09-25-15-0
2.3,EC-2E<EC-2E-10>,2016-09-25-15-1
